team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty,school,conference,school_for_merge,AP Top 25,Coaches Poll,FCS Coaches Poll
Tulsa,Offside,Procedural,7,20.0,2.86,Tulsa,American Athletic,,,,
Tulsa,Other / Unclassified,Blocking / Holding,1,0.0,0.0,Tulsa,American Athletic,,,,
Tulsa,Other / Unclassified,Other,3,10.0,3.33,Tulsa,American Athletic,,,,
Tulsa,Other / Unclassified,Safety / Tackling,1,8.0,8.0,Tulsa,American Athletic,,,,
Tulsa,Pass Interference,Personal / Contact,3,49.0,16.33,Tulsa,American Athletic,,,,
Tulsa,Personal Foul,Personal / Contact,2,19.0,9.5,Tulsa,American Athletic,,,,
Tulsa,Roughing the Passer,Personal / Contact,1,8.0,8.0,Tulsa,American Athletic,,,,
Tulsa,Unsportsmanlike Conduct,Personal / Contact,1,12.0,12.0,Tulsa,American Athletic,,,,
UAB,Delay of Game,Procedural,2,10.0,5.0,UAB,American Athletic,,,,
UAB,Face Mask,Other,3,42.0,14.0,UAB,American Athletic,,,,
UAB,False Start,Procedural,11,55.0,5.0,UAB,American Athletic,,,,
UAB,Holding,Blocking / Holding,15,148.0,9.87,UAB,American Athletic,,,,
UAB,Illegal Formation,Procedural,1,8.0,8.0,UAB,American Athletic,,,,
UAB,Offside,Procedural,10,44.0,4.4,UAB,American Athletic,,,,
UAB,Other / Unclassified,Administrative,2,19.0,9.5,UAB,American Athletic,,,,
UAB,Other / Unclassified,Other,9,90.0,10.0,UAB,American Athletic,,,,
UAB,Other / Unclassified,Procedural,1,5.0,5.0,UAB,American Athletic,,,,
UAB,Pass Interference,Personal / Contact,4,40.0,10.0,UAB,American Athletic,,,,
UAB,Pass Interference,Procedural,1,15.0,15.0,UAB,American Athletic,,,,
UAB,Personal Foul,Personal / Contact,10,120.0,12.0,UAB,American Athletic,,,,
