offense,defense,play_text,penalty_type,penalty_yards
Colorado State,Washington,"(08:09) No Huddle-Shotgun Fowler-Nicolosi,Brayden pass incomplete short left to Maher,Tommy thrown to WASH26, 1ST DOWN, PENALTY WASH Pass Interference (Bryant,Leroy) 12 yards from WASH39 to WASH27, 1ST DOWN. NO PLAY.",Pass Interference,12.0
Washington,Colorado State,"Demond Williams Jr. pass complete to Denzel Boston for 12 yds for a TD Colorado State Penalty, Defensive Pass Interference (Dylan Phelps) declined (Grady Gross KICK)",Pass Interference,
Long Island University,Florida,PENALTY LIU Delay Of Game 5 yards from LIU34 to LIU29. NO PLAY.,Delay of Game,5.0
Florida,Long Island University,"Jadan Baugh run for 17 yds to the LIU 38 for a 1ST down Long Island University Penalty, Personal Foul (Trey Watkins) to the LIU 23 for a 1ST down",Personal Foul,
Long Island University,Florida,"PENALTY LIU False Start (Meredith-Smith,Aqil) 5 yards from LIU31 to LIU26. NO PLAY.",False Start,5.0
Long Island University,Florida,"PENALTY LIU False Start (Krill,Jacoby) 5 yards from LIU25 to LIU20. NO PLAY.",False Start,5.0
Washington,Colorado State,"(07:46) PENALTY WASH False Start (DeGraaf,Decker) 5 yards from CSU36 to CSU41. NO PLAY.",False Start,5.0
Colorado State,Washington,"(04:41) PENALTY CSU False Start (Wortmann,Liam) 5 yards from CSU49 to CSU44. NO PLAY.",False Start,5.0
Florida,Long Island University,"Jadan Baugh run for 26 yds to the LIU 38 for a 1ST down Long Island University Penalty, Face Mask (15 yards) (Deuce Cooper) to the LIU 47 for a 1ST down",Face Mask,15.0
Florida,Long Island University,"Jadan Baugh run for 23 yds to the LIU 9 for a 1ST down Long Island University Penalty, Block Below Waist (Trey Watkins) to the LIU 4 for a 1ST down",Other / Unclassified,
Florida,Long Island University,"(01:28) No Huddle-Shotgun Lagway,DJ pass incomplete short left to Sturdivant,J.Michael thrown to UFL45 PENALTY LIU Pass Interference (Bell,Jalen) 15 yards from UFL32 to UFL47, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Florida,Long Island University,"PENALTY LIU Delay Of Game (Watkins,DQ) 5 yards from UFL47 to LIU48. NO PLAY.",Delay of Game,5.0
Long Island University,Florida,"(15:00) Lynch,Will kickoff 65 yards to the UFL00 Brown III,Vernell return 23 yards to the UFL23 (Massey,Norman) PENALTY LIU Offside 5 yards from LIU35 to LIU30. NO PLAY.",Offside,65.0
Long Island University,Florida,PENALTY LIU Delay Of Game 5 yards from LIU27 to LIU22. NO PLAY.,Delay of Game,5.0
Florida,Long Island University,"(14:51) No Huddle-Shotgun Jones Jr.,Tramell pass incomplete short left to Hawkins,Tank thrown to UFL40 PENALTY LIU Offside (Mills,Rodney) 5 yards from UFL41 to UFL46. NO PLAY.",Offside,5.0
Colorado State,Washington,"PENALTY CSU False Start (Rodriguez,Drew) 5 yards from CSU34 to CSU29. NO PLAY.",False Start,5.0
North Dakota,Kansas State,"PENALTY NODAK False Start (Thaden,Trace) 5 yards from NODAK22 to NODAK17. NO PLAY.",False Start,5.0
North Dakota,Kansas State,"Javance Tupou'ata-Johnson pass complete to Deng Deng for 21 yds to the KSU 1 for a 1ST down Kansas State Penalty, (Yards) declined for a 1ST down",Other / Unclassified,
